Gender,Age,Height,Weight,Calories,BMI,,,,,,
male,18.8,184,79,180,23.31,,,,,,
male,78.7,178,92,237,28.91,,,,,,
male,53.3,192,96,113,26.00,,,,,,
female,60.3,173,67,65,22.20,,,,,,
male,49.3,183,84,169,25.14,,,,,,
male,47.4,178,83,19,26.28,,,,,,
female,34.8,148,55,144,24.93,,,,,,
male,30.5,174,77,36,25.32,,,,,,
male,40.8,185,77,186,22.62,,,,,,
female,66.1,174,69,60,22.83,,,,,,
male,52.4,189,90,128,25.20,,,,,,
male,58.5,167,74,149,26.48,,,,,,
male,24.4,169,70,77,24.57,,,,,,
female,47.0,164,63,24,23.46,,,,,,
female,25.8,157,58,141,23.46,,,,,,
male,18.9,188,84,143,23.89,,,,,,
male,40.6,185,88,20,25.47,,,,,,
female,25.7,175,76,94,24.77,,,,,,
male,25.4,160,60,17,23.36,,,,,,
female,60.7,189,87,12,24.34,,,,,,
male,26.6,179,81,117,25.06,,,,,,
female,39.5,164,65,120,24.13,,,,,,
male,24.9,199,100,45,25.26,,,,,,
female,38.3,147,52,192,24.21,,,,,,
female,26.3,169,67,135,23.52,,,,,,
female,56.0,167,60,52,21.55,,,,,,
male,41.5,172,78,237,26.22,,,,,,
female,39.2,171,64,68,22.01,,,,,,
male,20.9,180,80,46,24.77,,,,,,
female,30.7,161,62,17,23.67,,,,,,
female,33.7,190,90,47,24.80,,,,,,
female,27.1,167,68,64,24.49,,,,,,
male,49.0,182,88,194,26.47,,,,,,
female,59.8,191,83,105,22.78,,,,,,
female,38.4,157,61,59,24.94,,,,,,
male,30.1,178,76,108,24.15,,,,,,
male,49.6,182,85,108,25.57,,,,,,
female,34.8,163,61,68,22.94,,,,,,
female,78.0,155,56,62,23.47,,,,,,
male,40.2,179,75,173,23.42,,,,,,
male,40.6,172,71,24,24.25,,,,,,
male,24.6,179,76,83,23.56,,,,,,
female,64.8,172,70,131,23.64,,,,,,
female,41.7,155,53,101,22.18,,,,,,
female,25.2,178,75,113,23.50,,,,,,
male,25.0,179,78,84,24.33,,,,,,
female,58.2,165,68,28,25.27,,,,,,
male,24.7,181,91,64,27.98,,,,,,
female,25.3,163,58,145,22.00,,,,,,
male,62.8,179,83,174,25.84,,,,,,
female,48.7,173,77,35,25.48,,,,,,
male,26.7,180,87,146,26.90,,,,,,
male,64.3,171,73,132,24.99,,,,,,
male,39.3,199,103,162,26.21,,,,,,
female,30.0,167,63,17,22.89,,,,,,
male,76.6,187,95,86,27.09,,,,,,
male,59.8,192,90,90,24.52,,,,,,
male,53.0,187,90,176,25.78,,,,,,
female,48.9,165,64,51,23.61,,,,,,
female,25.9,174,66,25,21.55,,,,,,
male,71.7,197,99,212,25.63,,,,,,
male,31.1,171,77,202,26.16,,,,,,
female,35.9,160,59,84,23.09,,,,,,
male,64.1,202,103,87,25.22,,,,,,
female,35.7,163,66,142,24.88,,,,,,
male,42.7,179,86,6,26.65,,,,,,
male,35.4,184,91,108,26.88,,,,,,
male,63.7,204,112,258,26.95,,,,,,
male,43.8,194,87,191,23.13,,,,,,
male,34.0,190,96,73,26.73,,,,,,
male,71.2,168,78,120,27.56,,,,,,
male,29.8,185,84,172,24.41,,,,,,
female,35.0,160,57,106,22.44,,,,,,
female,19.5,167,66,157,23.59,,,,,,
female,21.2,145,51,12,24.28,,,,,,
male,33.5,191,97,133,26.57,,,,,,
female,51.1,157,60,129,24.45,,,,,,
male,45.4,195,99,8,26.04,,,,,,
male,48.1,199,97,34,24.42,,,,,,
female,34.3,173,71,42,23.67,,,,,,
female,44.2,160,58,10,22.76,,,,,,
female,71.0,164,58,107,21.62,,,,,,
female,55.0,176,76,39,24.56,,,,,,
female,64.2,165,67,177,24.89,,,,,,
female,51.0,149,56,77,25.05,,,,,,
male,62.9,199,104,113,26.24,,,,,,
female,31.1,161,58,142,22.26,,,,,,
male,38.2,188,91,136,25.87,,,,,,
male,18.3,183,81,71,24.13,,,,,,
male,23.5,188,91,76,25.74,,,,,,
female,50.5,158,60,29,23.91,,,,,,
male,75.5,186,95,36,27.56,,,,,,
male,56.5,184,92,80,27.07,,,,,,
male,24.0,181,81,194,24.92,,,,,,
male,67.6,171,75,119,25.69,,,,,,
male,23.9,183,80,198,23.98,,,,,,
male,32.9,184,83,111,24.46,,,,,,
female,48.9,168,67,117,23.89,,,,,,
male,49.3,193,101,110,27.22,,,,,,
female,40.0,151,52,117,22.63,,,,,,
female,25.8,158,60,52,23.91,,,,,,
female,77.6,179,80,163,24.88,,,,,,
male,70.6,172,82,156,27.73,,,,,,
male,35.1,194,92,40,24.32,,,,,,
female,59.6,154,50,34,21.21,,,,,,
male,33.3,188,91,98,25.85,,,,,,
male,53.4,193,96,162,25.73,,,,,,
female,22.0,154,54,37,22.83,,,,,,
female,51.8,160,61,105,23.85,,,,,,
male,59.6,184,84,198,24.81,,,,,,
male,38.9,162,72,184,27.49,,,,,,
female,37.5,163,66,99,24.83,,,,,,
male,55.1,189,96,179,26.66,,,,,,
male,23.5,196,89,151,23.26,,,,,,
male,45.8,179,79,14,24.78,,,,,,
female,58.4,170,71,49,24.70,,,,,,
male,41.4,178,84,148,26.47,,,,,,
female,29.9,167,67,179,23.83,,,,,,
male,18.5,179,79,19,24.73,,,,,,
female,52.5,168,66,126,23.46,,,,,,
male,50.4,190,95,247,26.10,,,,,,
male,77.6,177,87,172,27.85,,,,,,
female,30.8,169,69,3,24.15,,,,,,
male,72.7,208,115,31,26.59,,,,,,
female,49.0,177,72,140,23.14,,,,,,
male,41.4,173,74,31,24.61,,,,,,
male,25.4,185,89,153,26.15,,,,,,
male,32.7,184,88,90,26.09,,,,,,
male,20.0,185,89,7,26.00,,,,,,
female,56.6,176,72,22,23.37,,,,,,
male,60.5,209,105,220,24.09,,,,,,
male,35.5,190,93,83,25.80,,,,,,
female,52.8,169,69,52,24.01,,,,,,
male,36.9,194,95,49,25.41,,,,,,
female,23.1,169,68,171,23.96,,,,,,
female,37.9,165,57,7,21.17,,,,,,
female,36.7,167,60,151,21.57,,,,,,
female,40.9,167,69,199,24.67,,,,,,
male,20.0,204,104,22,24.98,,,,,,
male,22.1,187,85,108,24.42,,,,,,
male,54.8,169,72,31,25.07,,,,,,
female,76.2,159,66,84,26.40,,,,,,
male,32.9,183,86,128,25.71,,,,,,
male,50.3,190,92,137,25.63,,,,,,
female,63.5,155,54,69,22.52,,,,,,
male,73.2,198,102,128,26.22,,,,,,
male,44.9,195,98,49,25.85,,,,,,
female,40.8,164,64,20,23.90,,,,,,
female,24.4,163,59,32,22.27,,,,,,
male,22.2,166,68,197,24.97,,,,,,
male,66.4,173,79,23,26.32,,,,,,
female,64.0,164,68,70,25.22,,,,,,
male,37.3,199,101,53,25.51,,,,,,
male,38.2,189,98,23,27.53,,,,,,
female,50.5,180,77,57,23.59,,,,,,
male,41.2,192,100,127,26.94,,,,,,
male,27.9,191,92,29,25.22,,,,,,
male,22.2,191,88,33,24.13,,,,,,
male,75.1,194,94,162,25.15,,,,,,
male,38.5,192,86,120,23.39,,,,,,
female,70.9,163,60,64,22.55,,,,,,
female,44.9,177,75,60,24.07,,,,,,
female,34.5,168,68,95,24.08,,,,,,
female,59.5,176,71,162,22.92,,,,,,
male,26.8,182,83,11,25.11,,,,,,
male,21.3,183,83,122,24.67,,,,,,
female,45.8,173,69,113,23.03,,,,,,
female,26.3,183,79,10,23.54,,,,,,
male,49.5,182,78,207,23.60,,,,,,
male,27.4,176,86,102,27.56,,,,,,
male,45.9,195,92,67,24.18,,,,,,
male,58.5,197,99,100,25.47,,,,,,
male,29.0,171,80,65,27.15,,,,,,
male,30.1,175,76,46,25.02,,,,,,
male,37.7,198,96,7,24.42,,,,,,
male,31.8,182,84,101,25.43,,,,,,
female,43.8,168,64,19,22.83,,,,,,
male,20.7,202,99,132,24.38,,,,,,
female,74.2,176,74,60,23.91,,,,,,
male,36.3,200,98,153,24.43,,,,,,
male,31.6,174,83,52,27.23,,,,,,
male,41.0,181,81,156,24.64,,,,,,
female,45.3,173,75,165,24.91,,,,,,
female,24.3,180,79,8,24.43,,,,,,
male,55.1,186,93,75,26.84,,,,,,
male,70.5,185,95,25,27.85,,,,,,
female,38.3,185,84,56,24.50,,,,,,
female,46.8,162,65,38,24.85,,,,,,
male,46.2,167,64,217,23.01,,,,,,
male,52.1,182,87,47,26.14,,,,,,
female,65.3,179,77,19,23.94,,,,,,
female,35.3,156,59,80,24.08,,,,,,
female,59.2,147,51,54,23.53,,,,,,
male,25.5,182,76,154,23.13,,,,,,
female,67.6,162,63,141,23.90,,,,,,
male,40.4,180,84,94,25.83,,,,,,
male,20.3,192,83,203,22.57,,,,,,
male,67.5,163,76,239,28.47,,,,,,
male,42.4,182,82,117,24.79,,,,,,
male,40.8,209,111,26,25.59,,,,,,
male,63.2,202,98,183,23.98,,,,,,
female,31.5,162,63,169,24.22,,,,,,
male,26.3,183,84,164,25.04,,,,,,
male,51.3,189,96,149,26.82,,,,,,
female,39.5,166,58,184,21.19,,,,,,
female,35.4,178,73,139,23.25,,,,,,
male,48.8,186,89,99,25.67,,,,,,
female,22.1,147,47,127,21.50,,,,,,
female,31.4,174,69,53,22.67,,,,,,
male,77.2,194,105,127,28.03,,,,,,
male,22.0,167,73,67,26.02,,,,,,
male,45.5,179,84,48,26.02,,,,,,
female,50.0,173,67,42,22.39,,,,,,
female,45.3,152,55,13,23.94,,,,,,
male,75.7,187,85,242,24.30,,,,,,
female,20.5,167,58,15,20.94,,,,,,
female,31.7,154,61,170,25.87,,,,,,
male,69.0,166,76,240,27.61,,,,,,
female,57.8,173,74,127,24.66,,,,,,
male,22.0,180,81,172,25.28,,,,,,
male,77.8,199,95,51,24.12,,,,,,
male,42.5,199,104,186,26.15,,,,,,
female,37.3,175,73,142,23.84,,,,,,
male,65.0,177,82,211,26.25,,,,,,
female,26.1,170,68,191,23.51,,,,,,
male,35.4,190,93,23,25.69,,,,,,
male,59.6,191,90,246,24.79,,,,,,
male,35.8,207,102,19,23.87,,,,,,
female,19.6,167,67,116,24.05,,,,,,
male,56.3,187,91,52,25.88,,,,,,
female,68.7,167,63,7,22.57,,,,,,
male,73.2,173,76,69,25.46,,,,,,
male,46.7,176,83,73,26.90,,,,,,
male,61.4,185,91,153,26.62,,,,,,
male,46.9,185,90,95,26.23,,,,,,
male,39.7,189,91,78,25.66,,,,,,
female,53.5,168,64,86,22.68,,,,,,
male,38.7,200,105,127,26.18,,,,,,
female,38.0,149,50,150,22.67,,,,,,
male,50.2,181,81,197,24.72,,,,,,
male,45.4,182,83,161,24.94,,,,,,
female,62.5,156,54,191,22.23,,,,,,
female,35.4,159,58,37,23.04,,,,,,
male,41.2,188,92,135,25.91,,,,,,
male,61.3,180,78,53,24.03,,,,,,
male,34.9,169,73,29,25.33,,,,,,
male,22.6,186,89,51,25.70,,,,,,
female,24.0,172,74,1,24.78,,,,,,
male,48.9,183,81,105,24.19,,,,,,
male,72.1,182,83,29,24.87,,,,,,
female,64.4,158,60,190,23.97,,,,,,
female,57.1,150,55,67,24.29,,,,,,
male,56.8,176,77,24,24.92,,,,,,
male,19.7,183,75,18,22.36,,,,,,
female,46.4,164,58,22,21.31,,,,,,
female,52.0,175,75,61,24.52,,,,,,
female,45.4,166,59,50,21.35,,,,,,
male,24.7,199,95,14,24.01,,,,,,
male,22.0,165,63,29,23.35,,,,,,
female,49.4,168,62,51,22.11,,,,,,
female,58.9,156,56,93,23.01,,,,,,
female,67.7,166,62,216,22.49,,,,,,
male,30.6,195,91,167,23.71,,,,,,
male,20.7,207,107,71,24.92,,,,,,
female,38.2,152,54,114,23.37,,,,,,
male,45.4,173,81,21,27.17,,,,,,
male,35.3,189,91,71,25.33,,,,,,
male,27.0,181,82,164,24.97,,,,,,
female,30.2,162,55,63,21.14,,,,,,
female,37.9,164,60,158,22.38,,,,,,
male,25.6,188,88,24,24.92,,,,,,
female,23.6,169,69,54,24.18,,,,,,
female,47.3,172,69,10,23.38,,,,,,
male,34.4,182,78,239,23.40,,,,,,
female,35.5,150,54,41,23.91,,,,,,
male,63.1,203,115,117,28.01,,,,,,
female,38.0,164,61,164,22.56,,,,,,
female,50.4,156,56,132,22.86,,,,,,
female,37.9,171,66,74,22.61,,,,,,
female,36.8,168,69,115,24.29,,,,,,
male,28.1,174,80,43,26.25,,,,,,
male,54.5,177,78,189,25.03,,,,,,
male,35.6,173,76,72,25.62,,,,,,
female,20.2,141,45,29,22.49,,,,,,
male,19.2,170,70,17,24.16,,,,,,
male,43.5,185,84,194,24.54,,,,,,
female,73.9,181,78,127,23.91,,,,,,
male,21.1,184,81,38,24.04,,,,,,
male,25.2,194,99,67,26.34,,,,,,
male,50.2,182,82,88,24.87,,,,,,
female,58.4,147,53,10,24.56,,,,,,
male,26.7,180,79,184,24.42,,,,,,
female,33.3,172,75,15,25.41,,,,,,
female,60.0,155,57,97,23.73,,,,,,
male,22.2,183,76,45,22.64,,,,,,
female,64.7,154,58,57,24.32,,,,,,
male,54.9,193,91,36,24.41,,,,,,
male,24.6,181,82,25,25.02,,,,,,
female,34.5,133,39,215,21.98,,,,,,
male,57.2,203,101,107,24.42,,,,,,
male,45.9,194,103,58,27.44,,,,,,
male,62.8,195,98,120,25.73,,,,,,
female,47.9,146,47,33,22.31,,,,,,
male,23.6,171,72,105,24.46,,,,,,
female,27.8,169,67,143,23.33,,,,,,
male,40.3,177,83,121,26.74,,,,,,
female,67.0,162,66,144,25.26,,,,,,
female,75.2,166,61,186,22.37,,,,,,
female,36.7,165,68,78,24.87,,,,,,
female,43.3,169,71,182,24.82,,,,,,
female,66.7,187,82,55,23.24,,,,,,
female,52.2,162,58,150,22.20,,,,,,
female,31.3,161,55,22,21.44,,,,,,
male,45.7,168,73,25,25.90,,,,,,
male,42.9,193,96,91,25.81,,,,,,
male,32.1,187,88,79,25.13,,,,,,
female,61.2,168,65,194,23.07,,,,,,
female,46.9,177,74,56,23.71,,,,,,
female,30.1,162,57,95,21.64,,,,,,
female,77.1,163,62,38,23.40,,,,,,
male,60.3,184,85,18,25.14,,,,,,
female,57.6,172,77,81,26.09,,,,,,
male,34.1,193,96,111,25.74,,,,,,
female,40.9,158,53,159,21.45,,,,,,
male,38.7,178,81,128,25.42,,,,,,
male,22.7,196,98,58,25.46,,,,,,
male,23.1,205,107,7,25.46,,,,,,
female,20.6,149,55,81,24.88,,,,,,
female,22.8,167,60,146,21.40,,,,,,
female,21.9,170,65,8,22.51,,,,,,
female,25.0,172,71,51,24.07,,,,,,
female,23.1,155,49,84,20.69,,,,,,
female,28.4,155,57,119,23.66,,,,,,
male,43.1,199,106,204,26.75,,,,,,
female,25.3,175,65,13,21.41,,,,,,
female,75.6,175,76,192,24.92,,,,,,
male,73.6,190,94,44,25.97,,,,,,
male,44.0,198,104,173,26.59,,,,,,
male,21.1,185,76,11,22.33,,,,,,
male,27.9,175,78,108,25.63,,,,,,
female,19.0,170,63,112,21.64,,,,,,
female,39.1,170,66,64,22.91,,,,,,
male,27.1,203,103,37,25.04,,,,,,
female,22.8,153,50,48,21.29,,,,,,
female,52.4,171,68,207,23.38,,,,,,
female,32.1,170,65,110,22.65,,,,,,
male,33.1,186,96,29,27.66,,,,,,
male,58.0,172,74,199,25.05,,,,,,
female,32.5,175,68,84,22.43,,,,,,
female,20.7,144,47,6,22.53,,,,,,
male,63.1,199,99,219,24.92,,,,,,
male,77.3,177,81,162,25.64,,,,,,
male,48.8,190,88,191,24.30,,,,,,
male,26.7,188,90,189,25.44,,,,,,
female,52.7,166,64,39,23.34,,,,,,
female,30.4,178,76,39,23.86,,,,,,
female,35.6,176,70,33,22.35,,,,,,
female,66.0,149,57,129,25.71,,,,,,
female,39.4,158,60,32,24.21,,,,,,
male,62.9,180,87,140,26.94,,,,,,
male,36.8,184,86,54,25.25,,,,,,
male,48.4,185,86,49,24.99,,,,,,
male,30.8,197,100,161,25.70,,,,,,
female,47.0,163,61,65,23.09,,,,,,
female,40.6,169,68,80,23.98,,,,,,
male,43.9,184,85,32,25.07,,,,,,
male,58.3,184,84,98,24.94,,,,,,
female,24.5,162,60,127,22.79,,,,,,
female,45.7,172,65,121,21.78,,,,,,
male,30.8,172,71,8,23.90,,,,,,
male,18.9,177,82,135,26.16,,,,,,
male,34.4,188,91,19,25.68,,,,,,
female,35.2,169,60,12,20.87,,,,,,
male,33.0,176,74,145,24.04,,,,,,
female,47.3,173,74,53,24.68,,,,,,
female,65.1,187,83,39,23.58,,,,,,
female,23.4,161,62,153,23.91,,,,,,
male,20.4,184,84,1,24.75,,,,,,
male,32.1,197,95,196,24.51,,,,,,
female,55.6,172,66,124,22.29,,,,,,
male,65.1,207,104,50,24.33,,,,,,
female,31.3,182,74,85,22.15,,,,,,
male,48.3,201,96,185,23.57,,,,,,
female,55.9,152,59,49,25.69,,,,,,
female,47.9,167,65,50,23.53,,,,,,
male,40.9,186,87,80,25.13,,,,,,
male,38.1,170,76,138,26.25,,,,,,
male,28.1,188,83,115,23.56,,,,,,
male,30.6,189,86,93,24.03,,,,,,
male,49.6,192,91,34,24.69,,,,,,
male,39.9,179,81,170,25.29,,,,,,
male,70.6,200,103,38,25.58,,,,,,
female,30.0,162,64,140,24.59,,,,,,
female,27.9,163,59,174,22.42,,,,,,
male,34.1,183,89,16,26.64,,,,,,
male,42.4,167,78,198,27.91,,,,,,
female,51.4,170,68,108,23.49,,,,,,
female,27.3,171,67,11,23.02,,,,,,
female,31.9,185,80,26,23.25,,,,,,
female,21.1,158,57,122,23.03,,,,,,
female,41.8,155,57,94,23.49,,,,,,
male,23.9,188,91,120,25.72,,,,,,
male,48.0,168,79,12,27.93,,,,,,
male,32.5,184,81,97,24.02,,,,,,
male,77.8,176,81,92,25.93,,,,,,
male,67.4,194,98,171,25.99,,,,,,
male,46.5,200,109,93,27.34,,,,,,
female,51.8,155,54,84,22.39,,,,,,
female,62.5,158,61,115,24.13,,,,,,
male,51.0,198,94,75,23.82,,,,,,
male,23.3,178,76,21,23.83,,,,,,
male,69.0,188,98,18,27.71,,,,,,
male,52.5,188,94,52,26.86,,,,,,
male,26.2,183,82,76,24.45,,,,,,
female,44.1,158,60,123,24.19,,,,,,
female,22.3,177,70,30,22.47,,,,,,
female,31.4,171,69,150,23.61,,,,,,
male,24.2,211,105,32,23.60,,,,,,
male,27.9,196,95,56,24.76,,,,,,
female,30.9,173,68,159,22.73,,,,,,
male,21.1,180,88,129,27.04,,,,,,
male,57.1,200,105,65,26.35,,,,,,
female,32.2,153,50,180,21.44,,,,,,
female,23.1,148,49,145,22.56,,,,,,
male,42.7,183,82,80,24.55,,,,,,
male,49.1,199,102,111,25.90,,,,,,
male,28.3,181,80,34,24.38,,,,,,
male,55.9,196,95,25,24.71,,,,,,
female,42.2,167,62,176,22.35,,,,,,
male,39.1,197,97,138,24.90,,,,,,
female,21.4,139,48,167,24.57,,,,,,
male,73.3,183,92,136,27.32,,,,,,
male,48.7,183,87,156,26.10,,,,,,
female,52.9,171,71,38,24.06,,,,,,
male,43.4,179,83,97,26.10,,,,,,
male,19.3,173,70,77,23.44,,,,,,
male,20.7,185,86,155,25.26,,,,,,
male,47.0,186,88,53,25.60,,,,,,
female,40.7,164,63,109,23.18,,,,,,
male,19.3,171,77,102,26.25,,,,,,
male,48.6,172,71,72,24.02,,,,,,
female,23.7,159,59,80,23.15,,,,,,
female,41.5,169,76,74,26.74,,,,,,
male,40.3,169,67,19,23.59,,,,,,
female,76.9,168,70,69,25.08,,,,,,
male,21.3,200,100,100,25.04,,,,,,
female,44.7,155,57,169,23.59,,,,,,
female,57.0,172,65,184,21.74,,,,,,
male,48.3,182,82,22,24.86,,,,,,
male,21.1,198,90,58,23.08,,,,,,
male,25.4,181,76,6,23.16,,,,,,
male,55.0,181,85,81,25.98,,,,,,
male,19.9,173,72,109,24.18,,,,,,
female,35.7,161,62,88,23.86,,,,,,
female,60.3,148,46,186,20.91,,,,,,
female,63.7,172,64,35,21.62,,,,,,
male,45.3,175,81,114,26.33,,,,,,
male,24.1,188,89,11,25.21,,,,,,
male,43.2,176,82,43,26.43,,,,,,
female,27.4,157,60,9,24.39,,,,,,
male,65.4,170,80,85,27.73,,,,,,
male,58.7,199,104,147,26.25,,,,,,
female,56.6,171,71,178,24.08,,,,,,
male,32.3,204,97,71,23.35,,,,,,
female,29.2,166,65,65,23.45,,,,,,
male,38.8,176,76,6,24.75,,,,,,
female,54.1,169,71,189,25.12,,,,,,
male,54.2,193,100,36,26.65,,,,,,
male,32.1,193,96,63,25.69,,,,,,
female,75.8,157,57,211,23.14,,,,,,
male,39.7,165,71,109,26.37,,,,,,
male,25.1,193,87,16,23.37,,,,,,
female,28.0,158,59,153,23.51,,,,,,
male,58.9,192,92,52,24.73,,,,,,
male,77.9,204,106,143,25.62,,,,,,
female,25.8,167,58,74,20.95,,,,,,
female,31.6,160,52,86,20.28,,,,,,
male,60.3,180,93,16,28.77,,,,,,
male,26.2,185,84,8,24.76,,,,,,
male,21.8,180,83,10,25.59,,,,,,
male,20.0,175,78,136,25.48,,,,,,
male,31.8,167,74,201,26.57,,,,,,
male,61.8,194,102,231,27.06,,,,,,
male,27.0,186,92,51,26.40,,,,,,
female,42.2,183,83,23,24.74,,,,,,
male,37.4,176,77,190,24.75,,,,,,
female,43.0,174,70,7,23.22,,,,,,
male,20.1,187,85,117,24.26,,,,,,
male,36.8,182,77,120,23.26,,,,,,
male,46.1,181,83,7,25.34,,,,,,
male,33.3,179,83,14,25.80,,,,,,
female,63.1,173,66,35,22.06,,,,,,
male,33.7,192,90,163,24.25,,,,,,
male,32.0,203,99,210,23.92,,,,,,
male,58.1,191,86,143,23.72,,,,,,
female,48.1,168,63,6,22.27,,,,,,
female,22.6,158,52,42,20.95,,,,,,
female,24.0,166,67,83,24.39,,,,,,
female,38.5,170,64,13,22.20,,,,,,
female,29.7,144,48,95,23.29,,,,,,
female,77.3,161,63,39,24.04,,,,,,
female,36.8,171,66,156,22.67,,,,,,
female,21.0,156,56,90,22.76,,,,,,
male,20.4,181,82,71,24.91,,,,,,
male,57.4,197,97,66,24.85,,,,,,
female,33.8,143,50,23,24.42,,,,,,
female,41.7,156,58,194,23.63,,,,,,
female,49.1,150,51,5,22.64,,,,,,
female,41.0,174,75,57,24.57,,,,,,
male,27.1,174,74,119,24.29,,,,,,
female,23.2,172,67,89,22.63,,,,,,
male,66.2,189,97,241,27.30,,,,,,
female,62.2,169,78,135,27.14,,,,,,
female,62.4,159,62,14,24.49,,,,,,
female,54.6,183,79,111,23.59,,,,,,
female,43.0,147,53,47,24.24,,,,,,
female,25.8,162,61,29,23.16,,,,,,
male,42.0,191,98,121,27.09,,,,,,
male,40.3,180,90,216,27.71,,,,,,
female,61.8,166,70,207,25.56,,,,,,
female,56.3,169,66,12,23.15,,,,,,
female,68.8,172,70,38,23.85,,,,,,
male,50.1,177,77,1,24.78,,,,,,
female,66.4,166,64,85,23.37,,,,,,
male,64.3,159,62,112,24.68,,,,,,
male,30.1,189,90,27,25.27,,,,,,
male,56.3,183,78,6,23.11,,,,,,
female,51.0,157,58,145,23.34,,,,,,
male,22.5,194,97,77,25.88,,,,,,
male,80.3,172,74,61,25.08,,,,,,
male,34.8,174,76,56,25.13,,,,,,
female,31.3,171,73,11,25.14,,,,,,
male,64.7,197,98,25,25.13,,,,,,
female,57.4,160,56,131,21.61,,,,,,
male,22.7,171,78,203,26.55,,,,,,
female,24.6,174,69,104,22.91,,,,,,
female,48.8,159,60,176,23.70,,,,,,
